배우 이름,흥행지수
김윤진(3편),442
유성주(8편),438
정선혜(2편),437
김성연(2편),437
임철수(1편),436
이순원(4편),436
최시원(1편),432
신현지(1편),431
전배수(2편),429
송준석(4편),428
김호중(1편),427
서정익(13편),424
윤제문(4편),421
조한철(11편),419
이민기(1편),410
김홍파(7편),407
김영선(3편),407
다현(1편),406
소연(7편),406
김정아(4편),405
구자형(3편),404
강경헌(3편),404
박희본(4편),404
푸바오(1편),400
지창욱(4편),399
김수미(2편),396
이원종(3편),390
박정우(1편),385
조아람(1편),384
홍완표(2편),378
윤채나(2편),376
김민(1편),374
장현성(3편),369
송유현(1편),368
장민혁(2편),366
홍승효(1편),365
김다올(5편),365
송영규(4편),361
장예나(3편),360
김서영(3편),356
루이바오(1편),356
김서형(2편),354
석승훈(5편),353
정지호(1편),352
김채린(1편),349
최지수(1편),349
정인겸(2편),348
하성용(6편),347
이승기(1편),345
오정세(10편),344
이주영(5편),340
김준한(5편),340
전태열(8편),336
변중희(5편),330
조현철(7편),329
정국(2편),325
황창영(7편),321
강말금(3편),317
백하이(1편),314
김성령(3편),313
유상우(1편),313
후이바오(1편),311
변우석(1편),311
신윤주(2편),308
이수경(3편),306
하도권(2편),304
김수안(4편),304
신소율(3편),299
장동윤(3편),298
김소희(6편),297
슈가(2편),292
강수진(2편),286
최병모(5편),284
김시우(1편),282
권유나(1편),279
임성재(3편),278
강시현(3편),278
