"행정구역(시군구)별",2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.10,2015.11,2015.12,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.10,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01,2024.02,2024.03,2024.04,2024.05,2024.06,2024.07,2024.08,2024.09,2024.10,2024.11,2024.12,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"세종특별자치시",161716,169762,174920,178656,182028,185212,189478,194173,197964,202214,206044,210884,215418,220108,223461,225488,227972,230327,232117,234510,236134,238533,240560,243048,244939,247600,251178,254112,259157,263056,266075,269102,271410,274092,276879,280100,283198,288079,291182,295041,297604,300332,302703,305648,308068,310403,312103,314126,316814,320326,322693,324417,325777,327643,330298,332098,333757,336356,338647,340575,342328,343788,344792,345216,345373,345341,346217,347232,348014,351007,353430,355831,357871,359569,360462,361396,362036,362995,364364,365309,366560,368276,369465,371895,374377,376399,377296,378196,379340,380215,380889,381439,381925,382258,382770,383591,384496,385285,385609,385825,386050,386126,386192,385953,385932,386079,386256,386525,386944,387193,387411,387726,387774,387940,388788,389370,389443,389978,390603,390685,122153,156125,210884,243048,280100,314126,340575,355831,371895,383591,386525,390685
"경기도",12366711,12376944,12392297,12405279,12418899,12432063,12444924,12460604,12475565,12491080,12504790,12522606,12536474,12551398,12565891,12578597,12594829,12610877,12629325,12649894,12666278,12683730,12699920,12716780,12728620,12741266,12753983,12763961,12775175,12783741,12795378,12810014,12827633,12841321,12858161,12873895,12890445,12908010,12925761,12941604,12958648,12975176,12993165,13012486,13027338,13045223,13061074,13077153,13090648,13104696,13116579,13129508,13145482,13159178,13176011,13193943,13207219,13218912,13228177,13239666,13250368,13265377,13288975,13311254,13324041,13338020,13351891,13370714,13388485,13400615,13413459,13427014,13449499,13471758,13465837,13479798,13488910,13500688,13512867,13530519,13542284,13549577,13557973,13565450,13571450,13574369,13575936,13577808,13581496,13585967,13589362,13590056,13574353,13579508,13583238,13589432,13596091,13600800,13603546,13607919,13612597,13618969,13623055,13624964,13626339,13627840,13628135,13630821,13635250,13639616,13642451,13648156,13654710,13661438,13669469,13675873,13680645,13686731,13690645,13694685,12234630,12357830,12522606,12716780,12873895,13077153,13239666,13427014,13565450,13589432,13630821,13694685
"강원특별자치도",1543640,1542918,1543187,1543811,1545194,1547166,1547737,1547646,1548082,1549221,1549178,1549507,1549193,1548016,1547845,1548170,1547821,1548603,1548636,1548844,1549483,1550021,1550209,1550806,1549212,1548252,1547735,1547579,1547453,1547829,1547387,1547455,1547768,1547999,1549344,1550142,1548078,1546259,1546152,1545452,1545291,1544843,1544258,1543668,1543780,1543441,1543556,1543052,1541693,1540445,1540488,1540794,1540776,1540855,1540714,1540780,1540721,1540897,1541399,1541502,1540540,1539521,1538577,1537780,1538639,1539282,1540094,1540689,1541104,1541836,1542374,1542840,1541696,1540875,1536399,1536175,1535491,1535530,1536140,1536270,1536765,1537717,1538273,1538492,1538660,1539051,1539036,1539038,1539005,1539064,1539178,1538801,1537396,1537339,1536863,1536498,1535373,1534067,1533719,1533356,1533081,1532617,1532050,1531390,1530712,1529500,1528635,1527807,1526243,1524624,1524198,1523661,1522952,1522542,1521877,1521066,1520410,1519545,1518700,1517766,1542263,1544442,1549507,1550806,1550142,1543052,1541502,1542840,1538492,1536498,1527807,1517766
"충청북도",1578531,1578253,1578748,1579291,1580042,1582181,1581840,1581792,1582080,1582656,1583053,1583952,1583982,1583781,1584325,1585312,1586414,1586943,1587539,1588025,1588548,1589268,1590537,1591625,1591674,1592001,1591697,1592492,1592573,1592634,1592817,1593022,1593313,1593577,1594005,1594432,1593903,1594066,1594708,1595164,1595822,1595772,1596161,1596324,1596734,1597709,1598184,1599252,1599155,1598868,1598775,1599488,1599854,1599650,1599368,1599402,1599339,1599499,1599651,1600007,1599391,1598599,1597639,1596613,1596710,1597593,1597936,1598162,1598536,1599102,1599680,1600837,1599658,1599122,1595714,1596303,1596955,1597503,1597501,1597179,1596765,1596948,1597019,1597427,1597097,1597022,1597484,1597284,1597033,1597118,1597163,1596886,1595624,1595578,1595284,1595058,1594459,1593434,1594056,1594109,1594007,1593931,1594240,1594337,1594326,1594211,1594038,1593469,1592155,1590947,1591044,1590854,1591201,1591485,1591182,1590716,1590858,1590704,1591100,1591177,1572732,1578933,1583952,1591625,1594432,1599252,1600007,1600837,1597427,1595058,1593469,1591177
"충청남도",2063050,2062924,2064229,2065609,2067096,2068444,2069109,2071333,2072314,2073340,2074956,2077649,2078572,2080030,2081092,2082319,2084034,2085844,2086737,2088268,2089831,2091626,2093838,2096727,2097406,2099924,2102327,2104463,2105959,2107562,2109230,2111419,2113033,2114284,2115586,2116770,2117685,2118099,2119468,2120666,2121618,2122220,2122531,2123368,2123776,2124524,2125409,2126282,2125797,2125372,2125778,2125912,2125732,2125855,2125349,2125160,2124855,2124619,2124302,2123709,2122455,2120995,2119749,2118457,2118510,2119771,2120692,2120519,2120559,2120347,2120607,2121029,2119837,2119542,2115823,2116452,2117260,2117400,2118205,2118183,2118098,2118977,2119529,2119257,2118638,2118912,2119099,2119296,2119661,2120201,2121011,2121082,2120269,2121333,2122357,2123037,2122913,2123625,2124650,2125333,2125833,2126374,2126640,2127077,2127630,2128563,2129591,2130119,2130509,2131309,2132745,2133828,2134618,2134817,2135171,2135281,2135373,2136010,2136632,2136574,2047631,2062273,2077649,2096727,2116770,2126282,2123709,2121029,2119257,2123037,2130119,2136574
"전북특별자치도",1871018,1870728,1869966,1869900,1869965,1869668,1869354,1869025,1869255,1869297,1869654,1869711,1868354,1867534,1866691,1866184,1865634,1865900,1865612,1865232,1864729,1864043,1864475,1864791,1863298,1861955,1860485,1859703,1858927,1857815,1856921,1855985,1855450,1854688,1853886,1854607,1851694,1849543,1848066,1847089,1846144,1844639,1843009,1841427,1840544,1839358,1838049,1836832,1834532,1832227,1830499,1829273,1827871,1826717,1825381,1823982,1822883,1821813,1820799,1818917,1817302,1815112,1812936,1811619,1810097,1808802,1808044,1807094,1806441,1805937,1805204,1804104,1802748,1801319,1797450,1796331,1794682,1794345,1793902,1792476,1791110,1789770,1788616,1786855,1785392,1783923,1782205,1780824,1779230,1778279,1776949,1775664,1772596,1771776,1770839,1769607,1768229,1766524,1765175,1764181,1763004,1762021,1761169,1759815,1758661,1757295,1756183,1754757,1752921,1751318,1749376,1748047,1746912,1745885,1744661,1743183,1741640,1740753,1739751,1738690,1872965,1871560,1869711,1864791,1854607,1836832,1818917,1804104,1786855,1769607,1754757,1738690
"전라남도",1904220,1903220,1902274,1902212,1902383,1902638,1903046,1903609,1904402,1905616,1905373,1908996,1906904,1905700,1905239,1904917,1904449,1904314,1903692,1902883,1902077,1902022,1902260,1903914,1902380,1900797,1899441,1899604,1899088,1898065,1897681,1895974,1895233,1894676,1894426,1896424,1893444,1891308,1890423,1890412,1889726,1887991,1886297,1884285,1882637,1881420,1881518,1882970,1878904,1875862,1874232,1873183,1871718,1870587,1868856,1867094,1865915,1865039,1865588,1868745,1864712,1861894,1859290,1857083,1855945,1854618,1853339,1851985,1851124,1850680,1850557,1851549,1850575,1849795,1844811,1844148,1842423,1840921,1839698,1838353,1835690,1834653,1833864,1832803,1832604,1831451,1829501,1828550,1827674,1826440,1825534,1824104,1820458,1819157,1818484,1817697,1816707,1814858,1813872,1813439,1812475,1811554,1810071,1808339,1807295,1805823,1804875,1804217,1802672,1800352,1798435,1797199,1795717,1794967,1793747,1792390,1791496,1790421,1789610,1788819,1907172,1905780,1908996,1903914,1896424,1882970,1868745,1851549,1832803,1817697,1804217,1788819
"경상북도",2699275,2698469,2697302,2696837,2696674,2697791,2698899,2699955,2700461,2700878,2702186,2702826,2701160,2701055,2701148,2701238,2701912,2702385,2702210,2701293,2701445,2700957,2700843,2700398,2698803,2696329,2694544,2693810,2692859,2691727,2690974,2690671,2691502,2691794,2691878,2691706,2688747,2685633,2683661,2682897,2682316,2681090,2679546,2678272,2677762,2676904,2677014,2676831,2674005,2671587,2671036,2670375,2669731,2669850,2668836,2667657,2666795,2666072,2665775,2665836,2662508,2658956,2653418,2651054,2648760,2646493,2644001,2640932,2640003,2639763,2639245,2639422,2637639,2636747,2635563,2635896,2633592,2632401,2631649,2630254,2628344,2627925,2627468,2626609,2624310,2622026,2619641,2617552,2616177,2613963,2612016,2609356,2605066,2603389,2602052,2600492,2597527,2594399,2593210,2592205,2590726,2588860,2564065,2561623,2559924,2558085,2556262,2554324,2551370,2548440,2546960,2546120,2545421,2544174,2542072,2540046,2537955,2535971,2533979,2531384,2699440,2700794,2702826,2700398,2691706,2676831,2665836,2639422,2626609,2600492,2554324,2531384
"경상남도",3351038,3351137,3352780,3354602,3356168,3356540,3356488,3357120,3359523,3361489,3362754,3364702,3364764,3364695,3365021,3366658,3367730,3368792,3369271,3369074,3369695,3370815,3371731,3373871,3374065,3372266,3371696,3371703,3372586,3373334,3374601,3374467,3375329,3377635,3379020,3380404,3379981,3378430,3377516,3377126,3377626,3377483,3377248,3376730,3376031,3375357,3375047,3373988,3373214,3371016,3369949,3368933,3367857,3366989,3366286,3365282,3364039,3363883,3363274,3362553,3361344,3358828,3355341,3353380,3351347,3349454,3347637,3345169,3343770,3342831,3341063,3340216,3338396,3336045,3330463,3329623,3327298,3325840,3324735,3322373,3319271,3318161,3316365,3314183,3311438,3307005,3303274,3300692,3298016,3295615,3293709,3290991,3286470,3284495,3282849,3280493,3277672,3272381,3269228,3267369,3265018,3263251,3261361,3258309,3257009,3255239,3253619,3251158,3248703,3244232,3241374,3239224,3237140,3236224,3235125,3233629,3232297,3231132,3230071,3228380,3333820,3350257,3364702,3373871,3380404,3373988,3362553,3340216,3314183,3280493,3251158,3228380
"제주특별자치도",608325,609612,611044,612505,613858,615250,617038,618447,620009,621661,622952,624395,625451,627442,629220,631061,632802,634274,635800,637172,638199,639306,640488,641597,642388,643736,644924,646140,647547,648497,650190,651888,653270,654750,656013,657083,658167,659189,660441,661511,662633,663526,664579,665517,666151,666686,667064,667191,667337,667522,668120,668648,669328,669771,670209,670521,670610,670738,670895,670989,670749,670876,670508,670595,670793,671316,671913,672524,672948,673606,674001,674635,674615,675137,673974,674484,674877,675293,675876,675883,676079,676569,676768,676759,676691,677143,677218,677413,677766,678012,678491,679016,678426,678324,678373,678159,677493,677090,677031,677115,677057,676832,676810,676489,676317,676119,675845,675252,674353,673665,673103,672775,672563,672252,672068,671540,671064,670837,670632,670368,593806,607346,624395,641597,657083,667191,670989,674635,676759,678159,675252,670368
